BroadcastLogID,LogServiceID,LogDate,SequenceNO,AudienceTargetAgeID,ProgramClassID,Duration,EndTime,LogEntryDate,ProgramTitle,StartTime,AdType
1069862010,3193,1/1/18,152,1,3,00:30.0,27:41.0,1/1/18,11-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,27:11.0,Fast Food
1069862013,3193,1/1/18,155,2,3,00:15.0,28:41.0,1/1/18,11-YUM! BRANDS-Chicken Fast Food 3rd,28:26.0,Fast Food
1069862040,3193,1/1/18,182,2,3,00:15.0,03:49.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,03:34.0,Food & Beverage Products
1069862043,3193,1/1/18,185,2,3,00:30.0,15:20.0,1/1/18,11-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,14:50.0,Fast Food
1069862048,3193,1/1/18,190,2,3,00:15.0,17:06.0,1/1/18,11-YUM! BRANDS-Chicken Fast Food 3rd,16:51.0,Fast Food
1069862059,3193,1/1/18,201,3,3,00:15.0,40:36.0,1/1/18,14-BOSTON PIZZA-Restaurant 3rd,40:21.0,Restaurants
1069862061,3193,1/1/18,203,3,3,00:15.0,41:21.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,41:06.0,Fast Food
1069862065,3193,1/1/18,207,3,3,00:15.0,42:37.0,1/1/18,2-BURGER KING RESTAURANTS OF CAN-Hamburger Fast Fo,42:22.0,Fast Food
1069862072,3193,1/1/18,214,1,3,00:15.0,14:19.0,1/1/18,11-YUM! BRANDS-Chicken Fast Food 3rd,14:04.0,Fast Food
1069862076,3193,1/1/18,218,3,3,00:30.0,16:20.0,1/1/18,11-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,15:50.0,Fast Food
1069862096,3193,1/1/18,238,3,3,00:15.0,44:38.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,44:23.0,Food & Beverage Products
1069862099,3193,1/1/18,241,4,3,00:30.0,56:19.0,1/1/18,3-RED LOBSTER-Restaurant 3rd,55:49.0,Restaurants
1069862121,3193,1/1/18,263,3,3,00:30.0,21:27.0,1/1/18,11-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,20:57.0,Fast Food
1069862129,3193,1/1/18,271,3,3,00:15.0,34:51.0,1/1/18,2-BURGER KING RESTAURANTS OF CAN-Hamburger Fast Fo,34:36.0,Fast Food
1069862134,3193,1/1/18,276,2,3,00:15.0,36:37.0,1/1/18,11-YUM! BRANDS-Chicken Fast Food 3rd,36:22.0,Fast Food
1069862146,3193,1/1/18,288,4,3,00:15.0,02:41.0,1/1/18,14-BOSTON PIZZA-Restaurant 3rd,02:26.0,Restaurants
1069862153,3193,1/1/18,295,2,3,00:30.0,05:27.0,1/1/18,11-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,04:57.0,Fast Food
1069862156,3193,1/1/18,298,1,3,00:15.0,14:46.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,14:31.0,Food & Beverage Products
1069862163,3193,1/1/18,305,2,3,00:15.0,17:32.0,1/1/18,11-YUM! BRANDS-Chicken Fast Food 3rd,17:17.0,Fast Food
1069862547,3193,1/1/18,689,3,3,00:15.0,43:53.0,1/1/18,2-MCDONALD'S RESTAU CDA LTD-Fast Food 3rd,43:38.0,Fast Food
1069862552,3193,1/1/18,694,2,3,00:15.0,45:38.0,1/1/18,2-JM SMUCKER (CANADA) INC-Hot - Beverages 3rd,45:23.0,Food & Beverage Products
1069862560,3193,1/1/18,702,2,3,00:15.0,01:41.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,01:26.0,Food & Beverage Products
1069862566,3193,1/1/18,708,3,3,00:15.0,12:49.0,1/1/18,2-LITTLE CAESAR OF CANADA-Pizza Fast Food 3rd,12:34.0,Restaurants
1085288331,3221,1/1/18,109,4,3,00:30.0,17:21.0,1/1/18,3-A&W FOOD SERVICES OF CDA-Hamburger Fast Food 3rd,16:51.0,Food & Beverage Products
1085288349,3221,1/1/18,127,1,3,00:30.0,11:26.0,1/1/18,GENERAL MILLS CANADA CORP,10:56.0,Food & Beverage Products
1085288617,3221,1/1/18,395,4,3,00:30.0,28:45.0,1/1/18,3-A&W FOOD SERVICES OF CDA-Hamburger Fast Food 3rd,28:15.0,Food & Beverage Products
1085288637,3221,1/1/18,415,4,3,00:30.0,44:29.0,1/1/18,3-A&W FOOD SERVICES OF CDA-Hamburger Fast Food 3rd,43:59.0,Food & Beverage Products
1206019228,3235,1/1/18,729,3,3,00:15.0,,1/1/18,Mars Canada Inc,27:05.0,Food & Beverage Products
1228234562,3236,1/1/18,96,4,3,00:15.0,,1/1/18,Pepsico,21:06.0,Food & Beverage Products
1247337598,3232,1/1/18,1302,4,3,00:15.0,,1/1/18,COKE ZERO SUGAR NON NEW TECH REV (0207) 15S,53:58.0,Food & Beverage Products
1247337594,3232,1/1/18,1298,3,3,00:15.0,,1/1/18,2 WHOPPER POUR 7 DOLLARS (20171211) 15S,52:28.0,Fast Food
